SiteID,Latitude,Longitude,A_As,A_Pb,A_Se
12,32.6272,-96.8991,9.50,19.40,0.90
28,28.5238,-98.3872,9.10,20.90,0.60
92,26.3871,-98.8898,4.20,14.70,<0.2
127,31.523,-101.4749,8.50,14.00,0.30
156,29.1455,-97.1004,2.60,8.30,<0.2
184,31.3447,-97.9638,4.80,8.20,0.20
191,34.2365,-101.268,6.60,15.50,0.20
196,30.193,-102.654,6.70,14.00,0.40
239,32.6677,-103.0472,7.40,9.10,<0.2
248,33.5372,-95.348,3.40,16.00,0.20
268,31.3387,-95.8097,1.50,7.80,<0.2
284,29.8466,-97.9222,6.60,16.50,0.50
348,28.031,-98.7782,#VALUE!,#VALUE!,#VALUE!
363,36.2957,-101.0378,6.80,19.50,0.20
383,34.3881,-101.8519,8.20,17.90,0.30
388,29.5276,-103.125,8.60,8.80,1.50
440,31.837,-99.349,14.50,22.90,0.50
452,28.8005,-100.4732,6.40,10.60,0.40
540,28.3619,-97.3012,3.90,11.80,0.20
568,30.0043,-94.2698,4.80,90.00,0.40
575,32.9876,-100.3527,5.90,7.50,<0.2
604,30.6142,-96.6131,51.50,26.70,0.60
619,36.4,-101.8247,3.40,11.60,<0.2
639,34.7963,-101.4357,2.60,8.70,<0.2
644,30.6378,-102.6688,9.10,13.30,0.40
696,32.6978,-99.81,1.90,5.50,<0.2
708,30.6646,-100.9107,8.30,14.40,0.30
751,31.0333,-103.6363,4.70,20.60,0.30
796,27.0654,-98.5095,1.90,7.50,<0.2
831,31.8734,-102.4941,3.00,8.70,<0.2
844,30.8634,-94.6641,2.50,14.50,0.30
860,29.9504,-95.0364,3.60,17.10,0.30
888,33.9946,-99.7917,6.20,19.80,0.30
895,35.3988,-102.0883,13.40,14.90,<0.2
952,32.3016,-98.5121,2.20,9.70,<0.2
972,30.0131,-98.8698,3.70,11.40,<0.2
1016,32.2384,-95.3268,4.10,8.40,<0.2
1036,31.7748,-97.1323,2.00,6.50,<0.2
1052,29.6616,-98.0457,6.80,21.70,<0.2
1087,34.516,-102.9197,3.30,10.40,<0.2
1116,27.1712,-99.418,8.20,14.80,<0.2
1151,32.5477,-102.2414,2.90,6.70,<0.2
1156,30.5982,-104.4889,5.40,18.20,<0.2
1180,29.0028,-96.4359,6.60,18.40,0.20
1208,31.8815,-98.56,4.60,15.50,<0.2
1220,30.7788,-101.8439,5.10,12.60,0.30
1263,32.6329,-102.8879,3.30,7.00,<0.2
1292,30.9249,-95.3443,1.60,13.70,<0.2
1308,28.844,-98.774,9.10,16.70,<0.2
1364,31.4558,-105.6971,5.10,12.10,0.60
1372,27.6416,-97.6007,#VALUE!,#VALUE!,#VALUE!
1387,36.0249,-101.1414,7.30,15.20,0.20
1407,33.457,-102.6151,4.10,12.50,<0.2
1464,32.0367,-99.4588,9.80,28.10,0.30
1476,29.5255,-101.0692,9.30,20.30,0.40
1528,33.4752,-97.089,9.60,15.80,0.30
1564,26.917,-98.0944,1.80,6.10,<0.2
1592,30.4303,-93.9899,2.80,10.50,<0.2
1599,32.1657,-100.3569,6.80,12.50,<0.2
1628,30.1748,-96.9884,4.20,11.10,0.30
1663,35.4556,-101.3804,3.90,10.90,<0.2
1720,32.5366,-100.0122,7.50,17.20,<0.2
1775,31.6914,-103.6145,5.90,14.30,0.20
1820,28.446,-99.383,4.20,12.90,0.20
1855,32.0818,-100.6411,5.40,11.70,0.20
1868,31.7196,-94.3321,2.00,12.80,<0.2
1884,30.7121,-95.4079,3.10,10.60,0.30
1912,33.5856,-98.7,3.60,9.90,<0.2
1919,34.4772,-101.9191,7.10,16.50,0.30
1967,31.4323,-105.4478,6.30,16.80,<0.2
1996,30.5099,-99.6878,6.00,10.00,0.20
2040,32.637,-96.2151,6.40,11.40,0.60
2060,31.0238,-96.3959,2.80,10.40,<0.2
2076,30.4136,-97.7375,#VALUE!,#VALUE!,#VALUE!
2175,32.7567,-102.068,2.20,6.30,<0.2
2232,31.7846,-97.5259,20.10,15.40,0.50
2244,29.9624,-101.9523,9.30,18.80,0.40
2316,31.8245,-95.2025,20.60,13.70,<0.2
2332,29.3572,-99.083,9.50,17.80,0.20
2396,29.2078,-95.2132,#VALUE!,#VALUE!,#VALUE!
2411,35.7651,-101.9242,3.70,12.50,<0.2
2431,34.0186,-102.7005,4.60,14.10,<0.2
2436,29.9786,-103.57,5.60,17.90,<0.2
2488,32.4858,-98.8335,2.90,5.70,<0.2
2500,30.8255,-100.1077,9.50,38.20,0.60
2588,26.4577,-97.7975,4.90,12.10,<0.2
2616,30.36,-94.1834,3.80,8.50,0.30
2623,31.8169,-101.5471,9.60,16.40,0.30
2652,29.6681,-96.1153,2.40,11.40,0.20
2680,33.3172,-99.5275,7.80,15.40,<0.2
2687,35.1036,-102.6051,6.30,15.50,0.20
2744,33.0243,-98.5819,3.60,9.80,<0.2
